Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
18-Mar-20,9088.45,9127.55,8407.05,8468.8,-498.25,-5.56%,0,1.335761323
19-Mar-20,8063.3,8575.45,7832.55,8263.45,-205.35,-2.42%,0,-5.028958367
20-Mar-20,8284.45,8883,8178.2,8745.45,482,5.83%,0,0.253486954
23-Mar-20,7945.7,8159.25,7583.6,7610.25,-1135.2,-12.98%,0,-10.06519249
24-Mar-20,7848.3,8036.95,7511.1,7801.05,190.8,2.51%,0,3.033140935
25-Mar-20,7735.15,8376.75,7714.75,8317.85,516.8,6.62%,0,-0.851955036
26-Mar-20,8451,8749.05,8304.9,8641.45,323.6,3.89%,0,1.575553189
27-Mar-20,8949.1,9038.9,8522.9,8660.25,18.8,0.22%,0,3.437775866
30-Mar-20,8385.95,8576,8244,8281.1,-379.15,-4.38%,0,-3.270947239
31-Mar-20,8529.35,8678.3,8358,8597.75,316.65,3.82%,0,2.910538318
01-Apr-20,8584.1,8588.1,8198.35,8253.8,-343.95,-4.00%,0,-0.159014923
03-Apr-20,8356.55,8356.55,8055.8,8083.8,-170,-2.06%,0,1.229574406
07-Apr-20,8446.3,8819.4,8360.95,8792.2,708.4,8.76%,0,4.291820087
08-Apr-20,8688.9,9131.7,8653.9,8748.75,-43.45,-0.49%,0,-1.18887316
09-Apr-20,8973.05,9128.35,8904.55,9111.9,363.15,4.15%,0,2.499707457
13-Apr-20,9103.95,9112.05,8912.4,8993.85,-118.05,-1.30%,0,-0.087324733
15-Apr-20,9196.4,9261.2,8874.1,8925.3,-68.55,-0.76%,0,2.20249228
16-Apr-20,8851.25,9053.75,8821.9,8992.8,67.5,0.76%,0,-0.836604999
17-Apr-20,9323.45,9324,9091.35,9266.75,273.95,3.05%,0,3.546433992
20-Apr-20,9390.2,9390.85,9230.8,9261.85,-4.9,-0.05%,0,1.314668484
21-Apr-20,9016.95,9044.4,8909.4,8981.45,-280.4,-3.03%,0,-2.715995985
22-Apr-20,9026.75,9209.75,8946.25,9187.3,205.85,2.29%,0,0.501841748
23-Apr-20,9232.35,9343.6,9170.15,9313.9,126.6,1.38%,0,0.487958104
24-Apr-20,9163.9,9296.9,9141.3,9154.4,-159.5,-1.71%,0,-1.63685767
27-Apr-20,9259.7,9377.1,9250.35,9282.3,127.9,1.40%,0,1.13718587
28-Apr-20,9389.8,9404.4,9260,9380.9,98.6,1.06%,0,1.144859315
29-Apr-20,9408.6,9599.85,9392.35,9553.35,172.45,1.84%,0,0.294411496
30-Apr-20,9753.5,9889.05,9731.5,9859.9,306.55,3.21%,0,2.052083867
04-May-20,9533.5,9533.5,9266.95,9293.5,-566.4,-5.74%,0,-3.423716369
05-May-20,9429.4,9450.9,9190.75,9205.6,-87.9,-0.95%,0,1.441236982
06-May-20,9226.8,9346.9,9116.5,9270.9,65.3,0.71%,0,0.229765466
07-May-20,9234.05,9277.85,9175.9,9199.05,-71.85,-0.78%,0,-0.399066498
08-May-20,9376.95,9382.65,9238.2,9251.5,52.45,0.57%,0,1.897205381
11-May-20,9348.15,9439.9,9219.95,9239.2,-12.3,-0.13%,0,1.033894407
12-May-20,9168.85,9240.85,9043.95,9196.55,-42.65,-0.46%,0,-0.767271795
13-May-20,9584.2,9584.5,9351.1,9383.55,187,2.03%,0,4.044677699
14-May-20,9213.95,9281.1,9119.75,9142.75,-240.8,-2.57%,0,-1.840687219
15-May-20,9182.4,9182.4,9050,9136.85,-5.9,-0.06%,0,0.431804321
18-May-20,9158.3,9158.3,8806.75,8823.25,-313.6,-3.43%,0,0.234213773
19-May-20,8961.7,9030.35,8855.3,8879.1,55.85,0.63%,0,1.544907774
20-May-20,8889.15,9093.8,8875.35,9066.55,187.45,2.11%,0,0.113059179
21-May-20,9079.45,9178.55,9056.1,9106.25,39.7,0.44%,0,0.142079091
22-May-20,9067.9,9149.6,8968.55,9039.25,-67,-0.74%,0,-0.422920412
26-May-20,9099.75,9161.65,8996.65,9029.05,-10.2,-0.11%,0,0.66485343
27-May-20,9082.2,9334,9004.25,9314.95,285.9,3.17%,0,0.585210632
28-May-20,9364.95,9511.25,9336.5,9490.1,175.15,1.88%,0,0.53390568
29-May-20,9422.2,9598.85,9376.9,9580.3,90.2,0.95%,0,-0.720638492
01-Jun-20,9726.85,9931.6,9706.95,9826.15,245.85,2.57%,0,1.506654261
02-Jun-20,9880.85,9995.6,9824.05,9979.1,152.95,1.56%,0,0.553596098
03-Jun-20,10108.3,10176.2,10035.55,10061.55,82.45,0.83%,0,1.278157554
04-Jun-20,10054.25,10123.85,9944.25,10029.1,-32.45,-0.32%,0,-0.072606112
05-Jun-20,10093.8,10177.8,10040.75,10142.15,113.05,1.13%,0,0.640987537
08-Jun-20,10326.75,10328.5,10120.25,10167.45,25.3,0.25%,0,1.787590481
09-Jun-20,10181.15,10291.15,10021.45,10046.65,-120.8,-1.19%,0,0.134562402
10-Jun-20,10072.6,10148.75,10036.85,10116.15,69.5,0.69%,0,0.257629609
